efficiency,points,plus_minus,turnovers,blocks_per_min,turnovers_per_min,team_LAL,opponent_GSW,team_CHA,steals_per_min,team_MIA,steals,points_per_min,opponent_IND,opponent_CHA,opponent_DAL,blocks,position_SF,team_OKC,opponent_DEN,team_DAL,assists_per_min,team_BKN,team_CHI,opponent_LAL,efficiency_per_min,team_HOU,opponent_CLE,opponent_UTA,opponent_LAC,opponent_OKC,scoring_consistency,team_NOP,game_location_Home,age,assists,rebounds_per_min,team_GSW,usage_rate,team_MIN,opponent_MIL,opponent_NOP,age_bin_prime,three_pct,pm_bin_neutral,position_PG,team_PHI,opponent_NYK,opponent_ORL,minutes_played,team_SAC,opponent_DET,rest_days,fg_pct,team_TOR,impact_metric,ft_pct,team_DET,position_PF,team_CLE,rebounds,opponent_SAC,opponent_SAS,team_LAC,target
12,9,-3,2,0.08196720639613063,0.16393441279226126,0,0,0,0.08196720639613063,0,1,0.7377048575651757,0,0,0,1,0,0,0,0,0.0,0,0,0,0.9836064767535676,0,0,0,0,0,37.918029678850026,1,1,25,0,0.2459016191883919,0,0.901639270357437,0,0,0,1,19.6,0,0,0,0,0,12.2,0,0,2,51.4,0,0.9836064767535676,79.9,0,0,0,3,0,0,0,0
37,15,1,0,0.06472491699919362,0.0,0,0,0,0.03236245849959681,0,1,0.4854368774939522,0,0,0,2,0,0,0,0,0.16181229249798407,0,0,0,1.197410964485082,0,0,0,0,0,19.90291197725204,0,0,25,5,0.45307441899435535,0,0.6472491699919363,0,0,0,1,31.2,1,0,0,0,0,30.9,0,0,1,41.0,0,1.1003235889862917,68.1,0,0,0,14,0,0,0,1
16,11,-2,2,0.0,0.10582010022115872,0,0,0,0.05291005011057936,0,1,0.582010551216373,0,0,0,0,0,0,0,0,0.10582010022115872,0,0,0,0.8465608017692697,0,0,0,0,0,27.58730012765608,0,0,30,2,0.21164020044231743,0,0.7936507516586904,0,0,1,0,28.0,0,0,0,0,0,18.9,0,0,2,47.4,0,0.8994708518798491,78.2,0,1,0,4,0,0,0,0
15,12,7,3,0.0,0.14999999250000037,0,0,0,0.0,0,0,0.5999999700000015,0,0,0,0,0,0,0,0,0.09999999500000024,0,0,0,0.7499999625000018,0,0,0,0,0,29.57999852100007,0,0,27,2,0.1999999900000005,0,0.8499999575000021,0,0,0,1,45.8,0,0,0,0,0,20.0,0,0,2,49.3,0,0.8999999550000022,68.1,0,0,0,4,0,0,0,0
29,16,7,2,0.0,0.07194244345530779,0,0,0,0.03597122172765389,0,1,0.5755395476424623,0,0,0,0,0,0,0,0,0.14388488691061557,0,0,0,1.0431654301019628,0,0,0,0,0,19.85611439366495,0,0,29,4,0.3597122172765389,0,0.7913668780083857,0,0,0,0,22.5,0,0,1,0,1,27.8,0,0,1,34.5,0,1.0791366518296168,76.0,0,0,0,10,0,0,0,1
27,17,-14,3,0.030959751363475195,0.09287925409042559,0,1,0,0.030959751363475195,0,1,0.5263157731790783,0,0,0,1,0,0,0,0,0.18575850818085118,0,0,0,0.8359132868138303,0,0,0,0,0,24.52631503014505,0,0,30,6,0.15479875681737598,0,0.8049535354503551,0,0,0,0,41.2,0,1,0,0,0,32.3,0,0,0,46.6,0,0.8668730381773054,77.6,0,0,0,5,0,0,0,0
15,10,-3,3,0.06369426345896412,0.19108279037689235,0,0,0,0.0,0,0,0.6369426345896412,0,0,0,1,0,0,0,0,0.06369426345896412,0,0,0,0.9554139518844618,0,0,0,0,0,28.025475921944214,0,0,25,1,0.3821655807537847,0,0.8917196884254976,0,0,0,1,28.2,0,0,0,0,0,15.7,0,0,2,44.0,1,1.08280247880239,71.1,0,0,0,6,1,0,0,0
17,14,11,2,0.0,0.09852216263437621,0,0,0,0.0,0,0,0.6896551384406335,0,0,0,0,0,0,0,0,0.14778324395156434,0,1,0,0.8374383823921978,0,0,0,0,0,28.551722731442226,0,0,27,3,0.09852216263437621,0,0.9359605450265741,0,0,0,1,37.3,0,0,0,0,0,20.3,0,1,0,41.4,0,0.9359605450265741,76.7,0,0,0,2,0,0,0,0
38,23,15,2,0.048899754305629484,0.048899754305629484,0,0,0,0.024449877152814742,0,1,0.562347174514739,0,0,0,2,0,0,0,0,0.24449877152814742,0,0,0,0.9290953318069602,0,0,0,0,0,29.63569609692675,0,0,26,10,0.09779950861125897,0,0.8557457003485159,0,0,0,1,40.1,0,1,0,0,0,40.9,0,0,3,52.7,0,0.9046454546541455,71.1,0,0,0,4,0,0,0,1
15,10,-13,0,0.047393362682779015,0.0,0,0,0,0.047393362682779015,1,1,0.47393362682779017,0,0,0,1,0,0,0,0,0.09478672536555803,0,0,0,0.7109004402416852,0,0,0,0,0,28.720377785764086,0,1,30,2,0.047393362682779015,0,0.5687203521933482,0,0,0,0,41.0,0,0,0,0,0,21.1,0,0,1,60.6,0,0.6161137148761272,74.1,0,1,0,1,1,0,0,0
